"Variable","Coefficient","PValue","Model"
"(Intercept)",5.60346477825979e-17,0.999999999999999,"Model_1"
"yc_1",-30.2716597189361,1.0025343847402e-36,"Model_1"
"(Intercept)",-2.56340324575873e-16,0.999999999999993,"Model_2"
"yc_2",-29.1481042282779,3.85163782832821e-36,"Model_2"
"(Intercept)",-1.35225276911389e-18,1,"Model_3"
"yc_3",-29.5581585671973,7.38936856913128e-38,"Model_3"
"(Intercept)",-1.28036949163685e-16,0.999999999999995,"Model_4"
"yc_4",-33.800940500645,3.77047087399431e-56,"Model_4"
"(Intercept)",1.22151082503066e-16,0.999999999999995,"Model_5"
"yc_5",-35.4246895769798,4.21082653583533e-58,"Model_5"
"(Intercept)",0.0102640023729257,0.63648295416371,"Model_6"
"yc_6",-38.0073167295519,1.32102134893079e-40,"Model_6"
"(Intercept)",0.00147497164139711,0.901659778314311,"Model_7"
"yc_7",-26.3734657898557,4.64392084242005e-22,"Model_7"
"(Intercept)",-1.23397654750625e-16,0.999999999999996,"Model_8"
"yc_8",-0.00332774690281029,1.51688535629359e-47,"Model_8"
